Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Carbon_Emission,Emission_Category,Region,Time_Slot,Decision
Order Processing,High,113,VM_Large,Low,2.99,1.39,High,ap-east,Off-Peak,Shift to Green Region + Night
Quality Control,High,117,VM_Large,Low,2.72,0.76,Medium,eu-central,Night,Schedule Night (Low Load)
Returns Processing,Critical,145,Bare_Metal,Low,4.89,1.29,High,us-west,Off-Peak,Shift to Green Region + Night
Shipment Tracking,Medium,58,Container_Small,Critical,0.62,0.04,Very Low,Green_Region,Weekend,Execute Immediately
Shipment Tracking,Medium,42,VM_Medium,Critical,0.84,0.4,Medium,ap-east,Night,Schedule Night (Low Load)
Shipment Tracking,Low,20,VM_Small,High,0.41,0.28,Low,ap-south,Off-Peak,Green Region Immediate
Warehouse Allocation,Low,27,Container_Micro,Critical,0.25,0.12,Very Low,us-east,Off-Peak,Green Region Immediate
Warehouse Allocation,High,97,VM_Large,Low,3.45,2.08,Very High,ap-south,Peak,Shift to Green Region + Night
Warehouse Allocation,Low,25,Container_Micro,Low,0.23,0.09,Very Low,eu-central,Off-Peak,Green Region Immediate
Fleet Dispatch,Low,29,Container_Micro,Critical,0.33,0.11,Very Low,eu-central,Peak,Green Region Immediate
Fleet Dispatch,Medium,60,VM_Medium,Medium,1.39,0.59,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Fleet Dispatch,Medium,56,VM_Medium,Low,1.19,0.12,Very Low,Green_Region,Weekend,Execute Immediately
Fleet Dispatch,Medium,43,Container_Small,High,0.45,0.2,Low,ap-east,Weekend,Green Region Immediate
Returns Processing,High,91,VM_Large,Critical,3.07,0.83,High,us-west,Peak,Shift to Green Region + Night
Payment Settlement,Medium,41,VM_Medium,Critical,0.91,0.29,Low,us-west,Off-Peak,Green Region Immediate
Payment Settlement,Critical,293,Bare_Metal,Low,8.82,2.68,Very High,eu-central,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Low,26,Container_Micro,Medium,0.23,0.16,Low,ap-south,Off-Peak,Green Region Immediate
Payment Settlement,Low,16,Container_Micro,Medium,0.18,0.07,Very Low,us-east,Peak,Green Region Immediate
Inventory Update,Low,25,VM_Small,Critical,0.48,0.33,Low,ap-south,Weekend,Green Region Immediate
Demand Forecasting,Low,22,VM_Small,Critical,0.44,0.27,Low,ap-south,Off-Peak,Green Region Immediate
Fleet Dispatch,Medium,43,VM_Medium,Medium,0.88,0.29,Low,eu-central,Night,Green Region Immediate
Quality Control,Low,10,Container_Micro,High,0.09,0.05,Very Low,ap-south,Off-Peak,Green Region Immediate
Quality Control,Medium,51,VM_Medium,Low,1.13,0.34,Low,eu-central,Off-Peak,Green Region Immediate
Returns Processing,High,84,VM_Large,Low,2.14,0.18,Low,Green_Region,Weekend,Execute Immediately
Quality Control,Medium,56,Container_Small,High,0.76,0.37,Low,us-east,Peak,Green Region Immediate
Payment Settlement,Critical,202,VM_XLarge,Low,4.33,2.15,Very High,us-east,Off-Peak,Shift to Green Region + Night
Payment Settlement,Low,30,VM_Small,High,0.51,0.15,Low,eu-central,Night,Green Region Immediate
Fleet Dispatch,High,78,Container_Large,Medium,0.94,0.55,Medium,ap-south,Weekend,Execute Immediately
Warehouse Allocation,Medium,36,VM_Medium,Low,0.76,0.37,Low,us-east,Off-Peak,Green Region Immediate
Shipment Tracking,High,116,VM_Large,Critical,4.09,1.19,High,us-west,Peak,Shift to Green Region + Night
Payment Settlement,High,107,VM_Large,Low,2.51,1.05,High,us-east,Night,Shift to Green Region + Night
Returns Processing,Low,12,Container_Micro,Low,0.1,0.04,Very Low,us-east,Off-Peak,Green Region Immediate
Order Processing,Low,15,VM_Small,Low,0.31,0.13,Very Low,ap-east,Night,Green Region Immediate
Supplier Management,Critical,141,VM_XLarge,High,4.34,2.99,Very High,ap-south,Peak,Shift to Green Region + Night
Returns Processing,High,66,VM_Large,Medium,1.81,0.42,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Fleet Dispatch,Critical,153,Bare_Metal,High,4.76,3.31,Very High,ap-south,Night,Shift to Green Region + Night
Quality Control,Low,29,VM_Small,High,0.71,0.27,Low,ap-east,Peak,Green Region Immediate
Demand Forecasting,Medium,50,VM_Medium,Low,1.2,0.52,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Inventory Update,Low,22,VM_Small,Critical,0.41,0.05,Very Low,Green_Region,Weekend,Execute Immediately
Demand Forecasting,Low,20,VM_Small,Low,0.42,0.15,Low,eu-central,Off-Peak,Green Region Immediate
Payment Settlement,Critical,273,Bare_Metal,Critical,8.04,5.35,Very High,ap-south,Weekend,Shift to Green Region + Night
Warehouse Allocation,Medium,33,VM_Medium,Medium,0.65,0.28,Low,ap-east,Night,Green Region Immediate
Payment Settlement,Low,22,Container_Micro,Medium,0.19,0.09,Very Low,us-east,Weekend,Green Region Immediate
Inventory Update,Medium,37,VM_Medium,Low,1.09,0.68,Medium,ap-south,Peak,Schedule Night (Low Load)
Warehouse Allocation,High,112,VM_Large,Low,2.87,1.14,High,ap-east,Off-Peak,Shift to Green Region + Night
Order Processing,High,86,VM_Large,Critical,2.34,0.95,High,ap-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,High,63,VM_Large,High,2.15,0.61,Medium,eu-central,Peak,Schedule Night (Low Load)
Returns Processing,Critical,130,Bare_Metal,Low,4.35,2.03,Very High,ap-east,Night,Shift to Green Region + Night
Returns Processing,Low,11,VM_Small,High,0.25,0.12,Very Low,ap-east,Night,Green Region Immediate
Demand Forecasting,Low,17,VM_Small,Critical,0.38,0.17,Low,us-east,Off-Peak,Schedule Night (Low Load)
Payment Settlement,Low,27,VM_Small,Critical,0.46,0.19,Low,ap-east,Night,Green Region Immediate
Shipment Tracking,Medium,52,Container_Small,High,0.76,0.36,Low,ap-east,Peak,Green Region Immediate
Fleet Dispatch,Low,20,Container_Micro,Low,0.16,0.07,Very Low,us-east,Weekend,Green Region Immediate
Inventory Update,Low,25,VM_Small,Medium,0.63,0.16,Low,us-west,Peak,Green Region Immediate
Shipment Tracking,Low,29,VM_Small,Critical,0.56,0.17,Low,us-west,Weekend,Green Region Immediate
Fleet Dispatch,Low,23,VM_Small,Critical,0.47,0.06,Very Low,Green_Region,Off-Peak,Execute Immediately
Warehouse Allocation,Medium,49,Container_Small,Low,0.71,0.5,Medium,ap-south,Peak,Schedule Night (Low Load)
Shipment Tracking,Medium,34,Container_Small,Low,0.36,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Inventory Update,Low,30,VM_Small,Low,0.57,0.36,Low,ap-south,Weekend,Green Region Immediate
Fleet Dispatch,Low,10,Container_Micro,Critical,0.11,0.07,Very Low,ap-south,Peak,Green Region Immediate
Warehouse Allocation,Medium,51,Container_Small,Critical,0.54,0.38,Low,ap-south,Weekend,Green Region Immediate
Payment Settlement,Medium,36,Container_Small,High,0.34,0.13,Very Low,eu-central,Night,Green Region Immediate
Demand Forecasting,Critical,283,VM_XLarge,Medium,5.23,2.43,Very High,ap-east,Weekend,Shift to Green Region + Night
Shipment Tracking,Medium,34,Container_Small,High,0.36,0.18,Low,us-east,Off-Peak,Green Region Immediate
Payment Settlement,Low,28,Container_Micro,Low,0.23,0.1,Very Low,ap-east,Weekend,Green Region Immediate
Fleet Dispatch,Low,26,VM_Small,High,0.46,0.12,Very Low,us-west,Night,Green Region Immediate
Returns Processing,High,80,VM_Large,Critical,2.85,0.18,Low,Green_Region,Peak,Execute Immediately
Returns Processing,Low,15,Container_Micro,Medium,0.14,0.03,Very Low,us-west,Off-Peak,Green Region Immediate
Order Processing,High,114,VM_Large,Critical,3.08,0.18,Low,Green_Region,Off-Peak,Execute Immediately
Quality Control,Medium,38,Container_Small,Low,0.37,0.13,Very Low,eu-central,Weekend,Green Region Immediate
Order Processing,Critical,163,Bare_Metal,Medium,4.88,0.5,Medium,Green_Region,Night,Schedule Night (Low Load)
Payment Settlement,Low,29,VM_Small,Medium,0.49,0.04,Very Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,High,107,Container_Large,High,1.28,0.73,Medium,ap-south,Weekend,Schedule Night (Low Load)
Quality Control,Medium,52,VM_Medium,High,1.16,0.12,Very Low,Green_Region,Off-Peak,Execute Immediately
Shipment Tracking,Medium,35,Container_Small,High,0.48,0.03,Very Low,Green_Region,Peak,Execute Immediately
Order Processing,Low,17,VM_Small,Low,0.48,0.17,Low,eu-central,Peak,Green Region Immediate
Inventory Update,Critical,160,VM_XLarge,High,3.55,1.48,High,us-east,Weekend,Shift to Green Region + Night
Order Processing,Medium,44,VM_Medium,High,0.86,0.36,Low,us-east,Night,Green Region Immediate
Demand Forecasting,Critical,206,VM_XLarge,Medium,5.64,2.42,Very High,ap-east,Peak,Shift to Green Region + Night
Shipment Tracking,High,64,Container_Large,Medium,0.88,0.59,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Warehouse Allocation,Medium,46,Container_Small,High,0.44,0.13,Very Low,us-west,Night,Green Region Immediate
Fleet Dispatch,Low,27,VM_Small,Medium,0.54,0.15,Low,us-west,Off-Peak,Schedule Night (Low Load)
Quality Control,Critical,143,Bare_Metal,Low,6.15,1.74,Very High,us-west,Peak,Shift to Green Region + Night
Shipment Tracking,Critical,266,VM_XLarge,Medium,5.16,1.17,High,us-west,Off-Peak,Shift to Green Region + Night
Returns Processing,Low,29,VM_Small,Critical,0.52,0.04,Very Low,Green_Region,Night,Execute Immediately
Supplier Management,Low,16,VM_Small,Low,0.32,0.16,Low,us-east,Weekend,Green Region Immediate
Shipment Tracking,High,87,VM_Large,Low,2.32,0.56,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Quality Control,High,73,VM_Large,Medium,2.66,0.68,Medium,us-west,Peak,Schedule Night (Low Load)
Order Processing,Critical,227,VM_XLarge,High,4.68,2.06,Very High,us-east,Weekend,Shift to Green Region + Night
Returns Processing,High,105,Container_Large,High,1.37,0.13,Very Low,Green_Region,Off-Peak,Execute Immediately
Order Processing,Medium,53,Container_Small,High,0.73,0.05,Very Low,Green_Region,Peak,Execute Immediately
Fleet Dispatch,Critical,165,Bare_Metal,Low,7.08,3.44,Very High,us-east,Peak,Shift to Green Region + Night
Shipment Tracking,Low,11,VM_Small,Low,0.28,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Shipment Tracking,Critical,267,VM_XLarge,High,7.13,3.29,Very High,us-east,Peak,Shift to Green Region + Night
Shipment Tracking,High,106,Container_Large,Low,1.15,0.38,Low,eu-central,Night,Green Region Immediate
Fleet Dispatch,Low,24,VM_Small,Medium,0.5,0.18,Low,eu-central,Off-Peak,Green Region Immediate
Inventory Update,Medium,45,Container_Small,Critical,0.51,0.15,Low,eu-central,Off-Peak,Green Region Immediate
Fleet Dispatch,Critical,202,Bare_Metal,High,6.23,1.67,Very High,eu-central,Off-Peak,Shift to Green Region + Night
Inventory Update,Low,11,VM_Small,Critical,0.24,0.12,Very Low,us-east,Night,Green Region Immediate
Payment Settlement,Low,10,Container_Micro,Low,0.11,0.07,Very Low,ap-south,Peak,Green Region Immediate
Shipment Tracking,Medium,35,VM_Medium,High,0.8,0.23,Low,eu-central,Off-Peak,Green Region Immediate
Payment Settlement,Low,30,Container_Micro,Low,0.26,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Warehouse Allocation,High,108,Container_Large,Low,1.28,0.62,Medium,us-east,Weekend,Schedule Night (Low Load)
Returns Processing,High,84,Container_Large,Critical,1.07,0.53,Medium,ap-east,Weekend,Schedule Night (Low Load)
Shipment Tracking,Critical,299,VM_XLarge,Critical,5.85,3.27,Very High,ap-south,Off-Peak,Execute Immediately
Returns Processing,Medium,31,Container_Small,Low,0.39,0.2,Low,ap-east,Peak,Green Region Immediate
Inventory Update,High,82,VM_Large,Low,2.96,1.45,High,us-east,Peak,Shift to Green Region + Night
Supplier Management,Critical,225,VM_XLarge,Critical,4.22,0.49,Medium,Green_Region,Night,Schedule Night (Low Load)
Shipment Tracking,Medium,44,VM_Medium,Low,0.88,0.2,Low,us-west,Night,Green Region Immediate
Quality Control,Critical,150,VM_XLarge,Critical,3.55,2.02,Very High,ap-south,Weekend,Shift to Green Region + Night
Returns Processing,Low,14,Container_Micro,Medium,0.11,0.05,Very Low,ap-east,Night,Green Region Immediate
Returns Processing,High,86,Container_Large,High,0.95,0.45,Medium,us-east,Night,Schedule Night (Low Load)
Fleet Dispatch,High,71,Container_Large,Medium,0.89,0.43,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Payment Settlement,High,109,VM_Large,High,2.61,1.17,High,ap-east,Night,Shift to Green Region + Night
Shipment Tracking,Medium,50,Container_Small,Low,0.57,0.05,Very Low,Green_Region,Off-Peak,Execute Immediately
Order Processing,Critical,242,Bare_Metal,Medium,6.79,0.37,Low,Green_Region,Weekend,Execute Immediately
Inventory Update,Medium,31,Container_Small,Medium,0.28,0.18,Low,ap-south,Weekend,Green Region Immediate
Shipment Tracking,High,111,VM_Large,High,3.09,1.59,High,ap-east,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,High,78,Container_Large,High,0.96,0.43,Medium,us-east,Weekend,Schedule Night (Low Load)
Warehouse Allocation,Low,18,Container_Micro,Medium,0.16,0.06,Very Low,ap-east,Off-Peak,Green Region Immediate
Returns Processing,Low,16,VM_Small,Medium,0.46,0.17,Low,eu-central,Peak,Green Region Immediate
Payment Settlement,High,102,VM_Large,Medium,2.69,0.81,High,us-west,Off-Peak,Shift to Green Region + Night
Returns Processing,Low,16,VM_Small,Low,0.47,0.33,Low,ap-south,Peak,Green Region Immediate
Supplier Management,High,81,VM_Large,Critical,1.97,0.68,Medium,eu-central,Night,Schedule Night (Low Load)
Warehouse Allocation,Low,24,Container_Micro,High,0.19,0.01,Very Low,Green_Region,Night,Execute Immediately
Returns Processing,Critical,234,Bare_Metal,High,7.26,2.17,Very High,us-west,Off-Peak,Shift to Green Region + Night
Inventory Update,Medium,31,Container_Small,Low,0.4,0.27,Low,ap-south,Peak,Green Region Immediate
Order Processing,Critical,292,VM_XLarge,Low,7.5,0.46,Medium,Green_Region,Peak,Schedule Night (Low Load)
Shipment Tracking,Low,21,VM_Small,Critical,0.38,0.18,Low,ap-east,Night,Green Region Immediate
Shipment Tracking,Medium,37,VM_Medium,High,0.74,0.25,Low,eu-central,Night,Green Region Immediate
Demand Forecasting,High,115,VM_Large,High,4.06,2.91,Very High,ap-south,Peak,Shift to Green Region + Night
Inventory Update,Medium,49,Container_Small,Low,0.5,0.11,Very Low,us-west,Weekend,Green Region Immediate
Shipment Tracking,Critical,225,VM_XLarge,High,4.25,0.94,High,us-west,Night,Shift to Green Region + Night
Supplier Management,Critical,166,VM_XLarge,Medium,3.96,0.28,Low,Green_Region,Off-Peak,Execute Immediately
Inventory Update,Critical,282,Bare_Metal,Low,7.26,0.74,Medium,Green_Region,Night,Schedule Night (Low Load)
Shipment Tracking,Critical,258,Bare_Metal,Medium,7.34,4.74,Very High,ap-south,Night,Shift to Green Region + Night
Inventory Update,Critical,166,Bare_Metal,Medium,5.83,1.64,Very High,us-west,Off-Peak,Shift to Green Region + Night
Demand Forecasting,Low,15,Container_Micro,Critical,0.17,0.05,Very Low,us-west,Peak,Green Region Immediate
Payment Settlement,Critical,179,VM_XLarge,High,3.66,1.69,Very High,ap-east,Night,Shift to Green Region + Night
Payment Settlement,High,117,VM_Large,Medium,3.24,0.92,High,eu-central,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,High,114,Container_Large,Critical,1.4,0.15,Low,Green_Region,Off-Peak,Execute Immediately
Fleet Dispatch,Critical,232,Bare_Metal,Low,6.76,1.98,Very High,us-west,Weekend,Shift to Green Region + Night
Fleet Dispatch,Low,29,Container_Micro,Critical,0.24,0.14,Very Low,ap-south,Weekend,Green Region Immediate
Shipment Tracking,Low,12,VM_Small,Critical,0.27,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Shipment Tracking,Critical,195,Bare_Metal,Low,6.18,1.59,High,us-west,Off-Peak,Shift to Green Region + Night
Quality Control,High,91,Container_Large,Critical,1.22,0.52,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Shipment Tracking,Low,12,Container_Micro,Low,0.1,0.07,Very Low,ap-south,Weekend,Green Region Immediate
Warehouse Allocation,Critical,157,VM_XLarge,Low,3.81,1.82,Very High,us-east,Off-Peak,Shift to Green Region + Night
Demand Forecasting,High,108,VM_Large,Low,2.65,1.7,Very High,ap-south,Weekend,Shift to Green Region + Night
Warehouse Allocation,Critical,168,VM_XLarge,Medium,4.81,2.27,Very High,us-east,Peak,Shift to Green Region + Night
Payment Settlement,Low,27,VM_Small,High,0.66,0.23,Low,eu-central,Peak,Green Region Immediate
Shipment Tracking,Low,18,VM_Small,Critical,0.36,0.08,Very Low,us-west,Weekend,Green Region Immediate
Demand Forecasting,Low,21,VM_Small,High,0.4,0.12,Very Low,us-west,Weekend,Green Region Immediate
Fleet Dispatch,High,113,VM_Large,Medium,2.8,0.6,Medium,us-west,Weekend,Schedule Night (Low Load)
Inventory Update,Low,24,VM_Small,High,0.5,0.28,Low,ap-south,Off-Peak,Green Region Immediate
Supplier Management,Critical,268,Bare_Metal,Low,8.46,2.64,Very High,eu-central,Off-Peak,Shift to Green Region + Night
Payment Settlement,High,104,Container_Large,Critical,1.21,0.74,Medium,ap-south,Weekend,Schedule Night (Low Load)
Warehouse Allocation,Critical,145,Bare_Metal,Critical,4.96,1.4,High,eu-central,Weekend,Shift to Green Region + Night
Quality Control,Critical,136,VM_XLarge,Critical,3.09,0.21,Low,Green_Region,Weekend,Execute Immediately
Demand Forecasting,Critical,121,VM_XLarge,High,3.94,0.85,High,us-west,Peak,Shift to Green Region + Night
Shipment Tracking,Critical,167,Bare_Metal,Low,5.91,2.69,Very High,us-east,Off-Peak,Shift to Green Region + Night
Inventory Update,Low,28,Container_Micro,High,0.33,0.04,Very Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,High,114,Container_Large,Medium,1.47,1.02,High,ap-south,Off-Peak,Shift to Green Region + Night
Payment Settlement,High,105,VM_Large,Medium,3.6,2.19,Very High,ap-south,Peak,Shift to Green Region + Night
Payment Settlement,Critical,121,VM_XLarge,Medium,3.0,0.7,Medium,us-west,Weekend,Schedule Night (Low Load)
Supplier Management,Low,27,VM_Small,Critical,0.53,0.24,Low,us-east,Off-Peak,Green Region Immediate
Demand Forecasting,Critical,206,VM_XLarge,Critical,4.31,1.7,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Returns Processing,Medium,34,Container_Small,Critical,0.47,0.14,Very Low,us-west,Peak,Green Region Immediate
Inventory Update,Medium,36,VM_Medium,Medium,0.75,0.19,Low,us-west,Night,Green Region Immediate
Warehouse Allocation,Low,20,Container_Micro,Medium,0.24,0.02,Very Low,Green_Region,Peak,Execute Immediately
Returns Processing,High,95,VM_Large,Medium,2.17,1.08,High,us-east,Night,Shift to Green Region + Night
Order Processing,Medium,31,VM_Medium,Medium,0.88,0.27,Low,us-west,Peak,Green Region Immediate
Supplier Management,High,90,VM_Large,Low,2.26,1.14,High,ap-east,Night,Shift to Green Region + Night
Fleet Dispatch,Critical,168,Bare_Metal,Critical,7.5,2.72,Very High,eu-central,Peak,Shift to Green Region + Night
Order Processing,Critical,264,Bare_Metal,Critical,8.01,2.47,Very High,us-west,Off-Peak,Shift to Green Region + Night
Shipment Tracking,High,92,VM_Large,Low,2.54,1.22,High,us-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Low,26,VM_Small,High,0.47,0.05,Very Low,Green_Region,Weekend,Execute Immediately
Fleet Dispatch,Critical,259,Bare_Metal,High,7.72,2.85,Very High,eu-central,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,220,VM_XLarge,Medium,4.02,1.03,High,eu-central,Night,Shift to Green Region + Night
Fleet Dispatch,Medium,34,Container_Small,High,0.31,0.13,Very Low,us-east,Night,Green Region Immediate
Payment Settlement,Medium,56,Container_Small,Low,0.58,0.15,Low,eu-central,Night,Green Region Immediate
Payment Settlement,Low,27,VM_Small,Medium,0.5,0.13,Very Low,us-west,Night,Green Region Immediate
Shipment Tracking,Low,26,Container_Micro,Medium,0.31,0.13,Very Low,us-east,Peak,Green Region Immediate
Payment Settlement,Low,24,VM_Small,Medium,0.49,0.05,Very Low,Green_Region,Off-Peak,Execute Immediately
Fleet Dispatch,Low,17,VM_Small,Medium,0.48,0.3,Low,ap-south,Peak,Execute Immediately
Returns Processing,High,112,VM_Large,Critical,3.1,2.03,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,235,Bare_Metal,Low,7.14,3.35,Very High,us-east,Off-Peak,Shift to Green Region + Night
Inventory Update,High,74,Container_Large,Low,0.95,0.49,Medium,ap-east,Weekend,Schedule Night (Low Load)
Demand Forecasting,Critical,249,VM_XLarge,Critical,5.17,2.5,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Inventory Update,High,73,VM_Large,Low,1.94,0.91,High,us-east,Weekend,Shift to Green Region + Night
Inventory Update,Medium,49,Container_Small,Critical,0.53,0.21,Low,ap-east,Off-Peak,Green Region Immediate
Demand Forecasting,Critical,199,VM_XLarge,Low,3.89,1.57,High,ap-east,Weekend,Shift to Green Region + Night
Demand Forecasting,Medium,46,VM_Medium,Medium,1.05,0.51,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Returns Processing,High,114,Container_Large,High,1.8,1.14,High,ap-south,Peak,Shift to Green Region + Night
Returns Processing,High,103,Container_Large,Critical,1.67,0.52,Medium,eu-central,Peak,Schedule Night (Low Load)
Inventory Update,Low,20,VM_Small,Low,0.41,0.18,Low,us-east,Off-Peak,Schedule Night (Low Load)
Demand Forecasting,Medium,50,VM_Medium,Critical,1.17,0.32,Low,eu-central,Off-Peak,Green Region Immediate
Supplier Management,High,95,VM_Large,High,2.21,0.89,High,ap-east,Night,Shift to Green Region + Night
Order Processing,High,89,VM_Large,Medium,2.15,0.57,Medium,us-west,Night,Schedule Night (Low Load)
Quality Control,Low,28,Container_Micro,Critical,0.33,0.03,Very Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,Medium,36,VM_Medium,Critical,0.76,0.19,Low,eu-central,Weekend,Green Region Immediate
Fleet Dispatch,High,97,VM_Large,High,2.26,0.57,Medium,us-west,Night,Execute Immediately
Fleet Dispatch,High,102,Container_Large,Critical,1.63,0.35,Low,us-west,Peak,Green Region Immediate
Inventory Update,Critical,204,Bare_Metal,Medium,6.12,2.61,Very High,ap-east,Night,Shift to Green Region + Night
Quality Control,Medium,44,VM_Medium,High,1.0,0.37,Low,eu-central,Off-Peak,Green Region Immediate
Inventory Update,Medium,59,VM_Medium,High,1.34,0.3,Low,us-west,Off-Peak,Green Region Immediate
Shipment Tracking,Critical,149,Bare_Metal,Low,5.01,2.58,Very High,ap-east,Weekend,Shift to Green Region + Night
Quality Control,High,102,VM_Large,Critical,3.35,1.86,Very High,ap-south,Peak,Shift to Green Region + Night
Returns Processing,Medium,59,VM_Medium,Medium,1.26,0.35,Low,us-west,Night,Green Region Immediate
Returns Processing,High,115,VM_Large,Low,2.77,1.08,High,ap-east,Night,Shift to Green Region + Night
Returns Processing,Medium,40,VM_Medium,Critical,0.88,0.4,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Inventory Update,Medium,31,VM_Medium,Critical,0.86,0.42,Medium,ap-east,Peak,Schedule Night (Low Load)
Order Processing,Critical,294,VM_XLarge,Medium,5.65,2.6,Very High,ap-east,Weekend,Shift to Green Region + Night
Shipment Tracking,Medium,56,VM_Medium,Low,1.22,0.32,Low,eu-central,Weekend,Green Region Immediate
Payment Settlement,Medium,35,VM_Medium,Medium,0.76,0.48,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Payment Settlement,High,112,VM_Large,Low,2.8,0.85,High,eu-central,Weekend,Shift to Green Region + Night
Order Processing,High,115,Container_Large,Low,1.44,0.81,High,ap-south,Weekend,Shift to Green Region + Night
Fleet Dispatch,Medium,58,VM_Medium,Medium,1.37,0.65,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Order Processing,Medium,39,VM_Medium,Low,0.84,0.41,Medium,ap-east,Weekend,Schedule Night (Low Load)
Supplier Management,Low,18,Container_Micro,Medium,0.15,0.1,Very Low,ap-south,Weekend,Green Region Immediate
Payment Settlement,High,99,Container_Large,Critical,1.3,0.8,High,ap-south,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,High,82,Container_Large,Low,1.09,0.53,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Returns Processing,Low,16,Container_Micro,Critical,0.13,0.01,Very Low,Green_Region,Weekend,Execute Immediately
Shipment Tracking,Critical,197,Bare_Metal,Medium,6.21,0.41,Medium,Green_Region,Weekend,Schedule Night (Low Load)
Demand Forecasting,High,111,Container_Large,Medium,1.49,0.46,Medium,eu-central,Off-Peak,Schedule Night (Low Load)
Supplier Management,High,83,VM_Large,Low,2.08,0.48,Medium,us-west,Weekend,Schedule Night (Low Load)
Warehouse Allocation,High,65,VM_Large,High,1.87,0.92,High,ap-east,Off-Peak,Shift to Green Region + Night
Quality Control,Low,13,VM_Small,Low,0.37,0.1,Very Low,eu-central,Peak,Green Region Immediate
Order Processing,High,97,Container_Large,Critical,1.15,0.36,Low,us-west,Night,Green Region Immediate
Returns Processing,Low,10,Container_Micro,Low,0.08,0.04,Very Low,us-east,Night,Green Region Immediate
Inventory Update,Low,27,VM_Small,Medium,0.46,0.1,Very Low,us-west,Night,Green Region Immediate
Demand Forecasting,Low,19,VM_Small,High,0.5,0.21,Low,us-east,Peak,Green Region Immediate
Inventory Update,High,89,VM_Large,Low,2.22,0.7,Medium,eu-central,Weekend,Schedule Night (Low Load)
Returns Processing,Medium,48,Container_Small,High,0.69,0.04,Very Low,Green_Region,Peak,Execute Immediately
Supplier Management,Critical,297,VM_XLarge,Critical,7.22,2.02,Very High,us-west,Peak,Shift to Green Region + Night
Demand Forecasting,Medium,38,VM_Medium,Critical,0.79,0.36,Low,us-east,Night,Green Region Immediate
Supplier Management,Critical,145,Bare_Metal,Critical,5.19,1.53,High,eu-central,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Critical,168,Bare_Metal,Medium,5.58,1.27,High,us-west,Off-Peak,Shift to Green Region + Night
Supplier Management,High,113,VM_Large,Low,2.72,1.24,High,ap-east,Weekend,Shift to Green Region + Night
Demand Forecasting,High,103,Container_Large,High,1.25,0.37,Low,eu-central,Weekend,Green Region Immediate
Quality Control,High,106,VM_Large,High,2.72,1.68,Very High,ap-south,Weekend,Shift to Green Region + Night
Shipment Tracking,Low,15,VM_Small,High,0.41,0.2,Low,ap-east,Peak,Green Region Immediate
Fleet Dispatch,Medium,53,VM_Medium,High,1.52,0.72,Medium,us-east,Peak,Schedule Night (Low Load)
Shipment Tracking,Critical,249,Bare_Metal,Critical,7.38,2.3,Very High,eu-central,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,183,Bare_Metal,High,5.87,2.44,Very High,us-east,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Critical,284,VM_XLarge,High,7.19,3.11,Very High,ap-east,Peak,Shift to Green Region + Night
Returns Processing,Medium,35,Container_Small,Low,0.46,0.12,Very Low,us-west,Peak,Green Region Immediate
Inventory Update,Medium,46,VM_Medium,Critical,0.91,0.18,Low,us-west,Night,Green Region Immediate
Warehouse Allocation,Low,19,VM_Small,Medium,0.38,0.11,Very Low,us-west,Off-Peak,Green Region Immediate
Warehouse Allocation,Low,24,Container_Micro,Medium,0.21,0.09,Very Low,us-east,Off-Peak,Green Region Immediate
Warehouse Allocation,Critical,145,VM_XLarge,High,4.44,3.09,Very High,ap-south,Peak,Shift to Green Region + Night
